Displacement,Force
0.0005049,173.477
0.0010007,173.221
0.00150847,172.989
0.00200311,172.734
0.00251072,172.513
0.00300519,339.141
0.00351265,504.984
0.00400709,509.988
0.00450154,513.374
0.005009,515.415
0.00550344,515.429
0.00601091,665.423
0.00650536,843.128
0.00701283,848.2
0.00750728,854.437
0.00800174,858.421
0.0085092,859.637
0.00900366,962.533
0.00951113,1190.24
0.0100056,1193.34
0.010513,1196.24
0.0110075,1198.75
0.011502,1200.18
0.0120094,1283.72
0.0125039,1546.04
0.0130113,1536.06
0.0135058,1536.85
0.0140002,1538.14
0.0145077,1541.47
0.0150021,1592.86
0.0155096,1898.21
0.016004,1879.21
0.0165115,1880.4
0.0170059,1879.55
0.0175003,1883.12
0.0180078,1918.8
0.0185022,2250.76
0.0190097,2220.05
0.0195041,2222.92
0.0200116,2217.8
0.020506,2220.21
0.0210004,2241.28
0.0215079,2586.23
0.0220023,2555.34
0.0225098,2558.64
0.0230042,2551.34
0.0235117,2556.18
0.0240061,2574.16
0.0245005,2903.14
0.025008,2893.33
0.0255024,2893.29
0.0260099,2887.69
0.0265043,2895.33
0.0270118,2910.35
0.0275062,3206.19
0.0280006,3230.31
0.0285081,3224.97
0.0290025,3222.24
0.02951,3230.23
0.0300045,3242.06
0.0305119,3490.94
0.0310064,3561.14
0.0315009,3556.95
0.0320084,3556.15
0.0325011,3563.97
0.0330046,3576.16
0.0335077,3763.77
0.0340107,3896.34
0.0345009,3896.24
0.0350033,3891.63
0.0355053,3897.88
0.0360072,3908.8
0.0365089,4038.33
0.0370105,4228.02
0.0375119,4227.28
0.0380125,4222.54
0.0385124,4224.83
0.0390124,4237.24
0.0395121,4319.13
0.0400117,4553.51
0.0405113,4556.39
0.0410104,4556.47
0.041509,4552.44
0.0420073,4567.85
0.0425056,4613.46
0.043004,4861.6
0.0435023,4887.37
0.0440129,4883.14
0.04451,4878.91
0.0450069,4892.13
0.0455037,4922.63
0.0460005,5142.71
0.0465099,5213.5
0.0470064,5207.25
0.047502,5204.28
0.0480102,5220.48
0.0485055,5246.25
0.0490129,5419.66
0.0495075,5536.53
0.0500021,5537.41
0.0505089,5534.28
0.0510028,5547.31
0.0515092,5571.83
0.0520026,5675.92
0.0525085,5850.6
0.0530012,5865.17
0.0535061,5862.63
0.0540109,5868.45
0.0545022,5887.78
0.0550051,5949.12
0.0555072,6152.86
0.0560083,6189.39
0.0565073,6183.79
0.0570052,6184.96
0.057503,6202.78
0.058011,6242.99
0.0585068,6433.22
0.0590016,6502.88
0.0595066,6500.21
0.0600106,6502.09
0.0605117,6516.13
0.0610091,6547.26
0.061508,6685.56
0.0620084,6802.82
0.0625105,6817.56
0.0630122,6816.85
0.0635012,6824.16
0.0640122,6847.39
0.0645086,6929.92
0.0650032,7092.37
0.0655064,7127.55
0.0660108,7116.15
0.0665018,7117.28
0.0670042,7127.72
0.0675069,7176.84
0.0680081,7348.68
0.0685091,7400.5
0.069008,7390.7
0.0695063,7385.25
0.070002,7387.14
0.0705038,7418.37
0.0710008,7548.39
0.0715026,7639.37
0.0720077,7649.01
0.0725095,7632.81
0.0730096,7627.93
0.0735109,7645.75
0.0740052,7727.28
0.0745069,7855.66
0.0750051,7882.33
0.0755055,7858.44
0.0760061,7846.93
0.0765064,7847.38
0.0770078,7893.27
0.077501,8015.37
0.0780023,8064.57
0.0785032,8055.01
0.079002,8033.13
0.0795051,8018.06
0.0800099,8027.78
0.0805085,8080.94
0.0810057,8067.4
0.0815005,8045.55
0.082005,8040.68
0.0825078,8025.45
0.0830101,8001.15
0.0835031,7976.77
0.0840019,7961.18
0.0845016,7946.79
0.0850087,7916.51
0.0855016,7880.07
0.0860043,7820.95
0.0865029,7750.33
0.0870022,7638.28
0.0875048,7559.14
0.0880064,7448.9
0.0885005,7401.67
0.0890074,7349.06
0.0895016,7274.42
0.0900028,7181.15
0.090504,7139.68
0.0910038,7074.94
0.0915041,7020.85
0.0920048,7025.66
0.0925044,6990.28
0.0930028,6970.77
0.0935016,6938.69
0.0940022,6893.78
0.0945007,6869.47
0.0950048,6865.4
0.0955009,6868.2
0.0960019,6836.76
0.0965043,6804.25
0.0970029,6789.69
0.0975036,6773.4
0.0980065,6762.62
0.0985045,6745.46
0.0990058,6735.94
0.099506,6726.49
0.1,6693.26
